cocktail_id,amount,ingredient_id
4,2 ounces,49
4,1/2 ounce,50
5,2 ounces,68
5,1/2 ounce,44
5,3/4 ounce,38
5,pinch,48
5,1 large,66
6,2 ounces,51
6,2 dashes,79
6,1 ounce,97
7,1 ounce,69
7,1 ounce,109
7,1 ounce,97
8,2 ounces,172
8,1 ounce,45
8,.75 ounce,38
9,2 ounces,68
9,1 teaspoon,47
9,3 dashes,79
9,1 teaspoon,174
10,2 ounces,49
10,1 ounce,44
10,1/2 ounce,38
10,top,77
11,2.5 ounces,51
11,1/2 teaspoon,174
11,1 cube,47
11,4 dashes,81
11,rinse,112
12,2 ounces,92
12,"~4 ounces, to top",156
12,1/2 ounce,45
12,pinch,48
13,2 ounces,92
13,.5 ounce,125
13,1 ounce,45
13,.5 ounce,42
14,2 ounce,83
14,.5 ounce,45
14,3 ounces,76
15,1 1/2 ounces,87
15,3/4 ounce,129
15,3/4 ounce,44
16,1 1/2 ounces,69
16,1 1/2 ounces,97
16,1/4 ounce,127
16,2 dashes,79
17,2 ounces,131
17,1/2 ounce,44
17,top,175
18,2 ounces,89
18,1 ounce,45
18,1/2 ounce,38
18,1.0,66
19,1 ounce,69
19,1/2 ounce,44
19,1/2 ounce,38
19,3 ounces,78
20,2 ounces,52
20,8 leaves,72
20,1/4 ounce,38
21,3/4 ounce,69
21,3/4 ounce,115
21,3/4 ounce,127
21,3/4 ounce,45
22,1 1/2 ounces,55
22,2 teaspoons,47
22,top,157
23,3/4 ounce,49
23,3/4 ounce,99
23,3/4 ounce,129
23,3/4 ounce,44
23,rinse,112
24,2 ounces,172
24,1/2 ounce,38
24,3/4 ounce,45
24,top,77
24,3 leaves,72
25,2 ounces,69
25,1 ounce,44
25,3/4 ounce,38
25,1.0,66
25,~1 ounce to top,77
26,2 ounces,83
26,4 ounces,176
27,2 ounces,69
27,3/4 ounce,45
27,1/2 ounce,38
52,top,77
52,1 1/2 ounces,97
52,1 1/2 ounces,109
53,1/2 ounce,43
53,3/4 ounce,45
53,3/4 ounce,129
53,1 1/2 ounces,172
53,1/2 ounce,173
54,1 whole lime,45
54,2 teaspoons,47
54,2 ounces,86
55,1/4 ounce,38
55,2 ounces,83
55,1/2 ounce,142
55,1 ounce (espresso or cold brew concentrate),157
56,1 ounce,77
56,3 ounces,78
56,2 ounces,110
57,1 1/2 ounces,52
57,1 ounce,97
57,1 ounce,109
58,1/2 ounce,38
58,1/2 ounce,45
58,1 1/2 ounces,71
58,3/4 ounce,109
58,1 1/2 ounces,168
59,1/2 ounce,40
59,3/4 ounce,44
59,2 ounces,69
60,1/2 ounce,45
60,"~5 ounces, to top",76
60,2 ounces,168
61,3/4 ounce,51
61,2 dashes,79
61,2 dashes,81
61,3/4 ounce,87
61,3/4 ounce,97
61,2 teaspoons,114
62,3/4 ounce,45
62,1 1/2 ounces,83
62,3/4 ounce,125
62,1/2 ounce,180
63,2 teaspoons,38
63,1 ounce,44
63,2 ounces,69
63,1/2 ounce,181
64,3/4 ounce,44
64,2 ounce,69
64,1/4 ounce,122
64,1/2 ounce,127
65,2 ounces,46
65,top,78
66,1 cube,47
66,top,78
66,3 dashes,79
67,top,78
67,1/2 ounce,136
68,1 1/2 ounces,178
68,3/4 ounce,118
