id,name,type,short_name,notes
38,Simple Syrup 1:1,Syrup,Simple Syrup,Mix equal parts sugar and water.
39,Simple Syrup 2:1,Syrup,Simple Syrup,Mix sugar and water at a ratio of 2 parts sugar to 1 part water.
40,Honey Syrup,Syrup,,
41,Maple Syrup,Syrup,,
42,Agave Nectar,Syrup,,
43,Orgeat,Syrup,,
44,Lemon Juice,Juice,Lemon,
45,Lime Juice,Juice,Lime,
46,Orange Juice,Juice,Orange,
47,Sugar,Panty/Fridge,,
48,Salt,Panty/Fridge,,
49,London Dry Gin,Spirit,Gin,
50,Dry Vermouth,Wine/Vermouth/Sherry,Vermouth,
51,Rye Whiskey,Spirit,Rye,
52,Bourbon Whiskey,Spirit,Bourbon,
54,Canadian Whiskey,Spirit,Whiskey,
55,Irish Whiskey,Spirit,Whiskey,
56,Japanese Whisky,Spirit,Whisky,
57,Single Malt Scotch,Spirit,Scotch,
61,Plymouth Gin,Spirit,Gin,
62,Old Tom Gin,Spirit,Gin,
64,Navy Strength Gin,Spirit,Gin,
65,Genever,Spirit,,
66,Egg White,Panty/Fridge,,
67,Saline Solution,Other,,
68,Whiskey,Spirit,,
69,Gin,Spirit,,
70,Grapefruit Juice,Juice,Grapefruit,
71,Pineapple Juice,Juice,Pineapple,
72,Mint,Panty/Fridge,,
73,Cucumber,Panty/Fridge,,
74,Heavy Cream,Panty/Fridge,,
75,Tonic Water,Panty/Fridge,,
76,Ginger Beer,Panty/Fridge,,
77,Club Soda,Panty/Fridge,,
78,Champagne,Wine/Vermouth/Sherry,,
79,Angostura Bitters,Bitters,Angostura,
80,Orange Bitters,Bitters,,
81,Peychaud's Bitters,Bitters,Peychaud's,
82,Grenadine,Syrup,,
83,Vodka,Spirit,,
86,Cachaça,Spirit,,
87,Cognac,Spirit,Cognac,
88,Applejack,Spirit,Applejack,
89,Pisco,Spirit,Pisco,
91,Calvados,Spirit,Calvados,
92,Blanco Tequila,Spirit,Blanco Tequila,
93,Reposado Tequila,Spirit,Reposado Tequila,
94,Añejo Tequila,Spirit,Añejo,
95,Mezcal,Spirit,,
96,Tennessee Whiskey,Spirit,Tennessee Whiskey,
97,Sweet Vermouth,Wine/Vermouth/Sherry,Vermouth,
98,Bianco Vermouth,Wine/Vermouth/Sherry,Vermouth,
99,Lillet Blanc,Wine/Vermouth/Sherry,Lillet Blanc,
100,Lillet Rouge,Wine/Vermouth/Sherry,Lillet Rouge,
101,Dubonnet Rouge,Wine/Vermouth/Sherry,Dubonnet Rouge,
102,Fernet Branca,Amaro,Fernet Branca,
103,Branca Menta,Amaro,Branca Menta,
104,Amaro Montenegro,Amaro,Montenegro,
105,Averna,Amaro,Averna,
106,Amaro Ramazzotti,Amaro,Ramazzotti,
107,Amaro Nonino,Amaro,Nonino,
108,Cynar,Amaro,Cynar,
109,Campari,Amaro,Campari,
110,Aperol,Amaro,Aperol,
111,Amer Picon,Amaro,Amer Picon,
112,Absinthe,Spirit,,
113,Pastis,Spirit,,
114,Bénédictine,Liqueur,,
115,Green Chartreuse,Liqueur,Green Chartreuse,
116,Yellow Chartreuse,Liqueur,Yellow Chartreuse,
118,Drambuie,Liqueur,,
119,Galliano,Liqueur,,
120,Licor 43,Liqueur,,
122,Crème de Violette,Liqueur,,
123,St. Germain,Liqueur,,
124,Cherry Heering,Liqueur,,
125,Cointreau,Liqueur,,
126,Grand Marnier,Liqueur,,
127,Maraschino Liqueur,Liqueur,Maraschino,
128,Crème de Banane,Liqueur,,
129,Orange Curaçao,Liqueur,,
130,Blue Curaçao,Liqueur,,
131,Pimms #1 Cup,Liqueur,Pimm's,
133,Apricot Brandy,Liqueur,,
134,Pear Brandy,Liqueur,,
135,Peach Brandy,Liqueur,,
136,Crème de Cassis,Liqueur,,
137,Sambuca,Liqueur,,
138,Ginger Liqueur,Liqueur,,
139,Falernum,Liqueur,,
140,Dark Chocolate Liqueur,Liqueur,Chocolate Liqueur,
141,Light Chocolate Liqueur,Liqueur,Chocolate Liqueur,
142,Kahlúa,Liqueur,,
143,Nocino,Liqueur,,
144,Allspice Dram,Liqueur,Allspice,
145,Cream Sherry,Wine/Vermouth/Sherry,Cream Sherry,
146,Manzanilla Sherry,Wine/Vermouth/Sherry,Manzanilla,
147,Oloroso Sherry,Wine/Vermouth/Sherry,Oloroso,
148,Fino Sherry,Wine/Vermouth/Sherry,Fino,
149,Amontillado Sherry,Wine/Vermouth/Sherry,Amontillado,
150,Palo Cortado Sherry,Wine/Vermouth/Sherry,Palo Cortado,
151,Pedro Ximénez Sherry,Wine/Vermouth/Sherry,Pedro Ximénez,
152,Ruby Port,Wine/Vermouth/Sherry,Port,
153,Tawny Port,Wine/Vermouth/Sherry,Port,
154,White Port,Wine/Vermouth/Sherry,White Port,
155,Coca-Cola,Panty/Fridge,,
156,Grapefruit Soda,Panty/Fridge,,
157,Coffee,Panty/Fridge,,
158,Apple Cider,Juice,Apple,
160,Cinnamon,Panty/Fridge,,
161,Clove,Panty/Fridge,,
162,Star Anise,Panty/Fridge,,
168,Blackstrap Rum,Spirit,Black Rum,
172,White Rum,Spirit,White Rum,
173,Aged Rum,Spirit,Dark Rum,
174,Water,Other,,
175,Ginger Ale,Panty/Fridge,,
176,Tomato Juice,Juice,Tomato,
177,Spiced Rum,Spirit,Spiced Rum,
178,Blended Scotch Whisky,Spirit,Blended Scotch,
179,Citron Vodka,Spirit,Citron Vodka,
180,Cranberry Juice,Juice,Cranberry,
181,Crème de Mûre,Liqueur,,
182,Byrrh,Wine/Vermouth/Sherry,,
183,Coconut Cream,Pantry/Fridge,,
184,Celery Bitters,Bitters,,
185,Grapefruit Bitters,Bitters,,
186,Cinnamon Syrup,Syrup,,Heat 1 cup sugar and 1 cup water until sugar is dissolved.  Add 3 cinnamon sticks broken up into pieces and simmer 15 minutes. Strain and cool.
187,Irish Cream,Liqueur,,
